__id,carat,cut,color,clarity,depth,table,label,x,y,z
48000,0.31,3,6,2,60.6,59.0,533,4.35,4.39,2.65
8521,0.95,3,3,2,58.0,62.0,4426,6.47,6.42,3.74
26761,1.71,4,6,2,60.3,60.0,16575,7.69,7.77,4.66
33197,0.3,2,3,5,59.7,63.0,819,4.37,4.34,2.6
6562,0.91,4,5,3,62.1,55.0,4077,6.17,6.14,3.82
29721,0.31,4,2,6,61.5,56.0,707,4.34,4.38,2.68
42996,0.54,4,3,2,61.9,54.0,1368,5.26,5.28,3.26
12710,0.26,4,4,6,62.4,56.0,599,4.1,4.11,2.56
34617,0.27,4,5,4,61.6,57.0,470,4.12,4.16,2.55
49094,0.62,4,6,2,62.2,55.0,2062,5.51,5.45,3.41
39185,0.35,4,6,3,62.0,55.0,1063,4.53,4.47,2.79
5144,1.0,2,5,1,63.5,56.0,3763,6.37,6.3,4.02
10045,0.31,3,1,2,59.6,58.0,418,4.39,4.44,2.63
19039,0.3,4,4,4,61.8,53.0,621,4.32,4.36,2.68
12893,1.01,2,5,2,61.5,60.0,5372,6.39,6.42,3.94
46665,0.56,4,2,6,62.3,55.0,1787,5.26,5.3,3.29
7923,1.11,2,0,2,62.4,57.7,4316,6.57,6.64,4.12
14089,1.35,3,0,2,61.1,61.0,5715,7.13,7.1,4.35
40830,0.32,2,6,7,62.0,56.0,1171,4.39,4.43,2.73
6124,0.83,2,6,4,61.3,57.2,3984,6.02,6.11,3.72
51621,0.72,2,3,2,62.8,60.0,2396,5.78,5.68,3.6
33820,0.32,4,5,5,60.8,57.0,842,4.42,4.46,2.7
24083,2.11,4,2,1,60.0,56.0,12226,8.43,8.35,5.03
9085,1.11,1,2,2,64.2,58.0,4523,6.47,6.53,4.17
39591,0.46,4,2,3,62.2,54.0,1083,4.95,4.97,3.09
47380,0.54,4,3,4,62.3,55.0,1847,5.24,5.2,3.25
9166,1.02,3,4,1,62.5,60.0,4541,6.43,6.36,4.0
10641,1.02,4,4,1,61.8,57.0,4832,6.49,6.43,3.99
53387,0.8,1,3,2,65.3,57.0,2662,5.78,5.85,3.8
25103,1.21,2,6,5,62.4,56.0,13630,6.76,6.83,4.24
4182,0.73,3,6,4,60.0,58.0,3557,5.9,5.86,3.53
48035,0.6,4,4,3,58.6,60.0,1923,5.54,5.62,3.27
14036,1.05,4,2,2,60.8,56.0,5704,6.62,6.58,4.01
31503,0.34,4,3,3,61.5,56.0,765,4.5,4.47,2.76
580,0.78,4,1,3,61.8,55.0,2834,5.92,5.95,3.67
16919,1.01,2,5,3,61.6,58.0,6754,6.43,6.49,3.98
22329,1.5,2,4,2,63.0,55.0,10372,7.27,7.31,4.59
713,0.98,0,5,1,53.3,67.0,2855,6.82,6.74,3.61
18574,1.07,4,3,3,61.6,57.0,7577,6.55,6.61,4.05
38,0.31,1,2,2,64.0,54.0,402,4.29,4.31,2.75
45677,0.52,4,5,3,61.7,57.0,1694,5.17,5.1,3.17
43673,0.5,2,6,2,58.9,61.0,1436,5.16,5.19,3.05
3429,0.71,3,2,7,60.2,61.0,3384,5.8,5.76,3.48
16175,1.0,4,3,4,62.7,54.0,6465,6.42,6.37,4.01
38911,0.51,2,1,2,63.1,56.0,1052,5.14,5.06,3.22
16722,0.32,4,4,3,60.9,56.0,610,4.41,4.45,2.7
47880,0.58,4,3,4,61.5,55.0,1911,5.36,5.41,3.31
51137,0.78,4,5,1,60.8,56.0,2340,5.98,5.92,3.62
15520,1.06,2,3,3,59.4,59.0,6217,6.68,6.63,3.95
30013,0.45,4,1,3,61.9,54.0,717,4.92,4.94,3.05
20439,1.64,2,3,1,60.9,57.0,8794,7.57,7.61,4.62
16709,0.32,1,4,1,63.5,56.0,421,4.35,4.37,2.77
676,0.54,4,6,5,61.5,55.0,2848,5.25,5.29,3.24
11205,1.13,4,2,2,62.0,57.0,4959,6.66,6.73,4.15
28936,0.3,3,3,5,62.2,59.0,684,4.28,4.31,2.67
20590,1.71,2,1,1,62.7,58.0,8896,7.59,7.54,4.74
48382,0.59,3,1,7,61.2,58.0,1965,5.41,5.38,3.3
40842,0.57,2,1,2,61.8,57.0,1173,5.31,5.34,3.29
34049,0.36,2,6,2,63.4,57.0,851,4.57,4.55,2.89
53149,0.8,2,5,1,62.4,55.0,2623,5.88,5.92,3.68
33229,0.38,4,4,3,61.3,57.0,822,4.65,4.68,2.86
36489,0.3,4,5,7,62.0,54.0,943,4.31,4.34,2.68
16177,1.03,4,4,3,60.4,56.0,6467,6.59,6.56,3.97
15385,0.32,2,3,5,64.0,55.0,607,4.31,4.35,2.77
30098,0.32,4,2,4,61.9,55.0,720,4.42,4.4,2.73
33453,0.32,3,3,4,61.4,58.0,828,4.4,4.36,2.69
3648,0.93,3,2,1,63.0,59.0,3437,6.16,6.11,3.86
1229,1.0,1,2,0,57.6,61.0,2940,6.67,6.6,3.82
30066,0.32,4,6,4,61.4,56.0,720,4.38,4.41,2.7
8009,0.9,2,2,4,62.5,58.0,4328,6.08,6.14,3.82
53343,0.73,4,2,2,62.0,55.0,2656,5.76,5.85,3.6
32826,0.34,4,5,4,60.8,57.0,805,4.49,4.53,2.74
16451,1.2,4,2,2,61.2,60.0,6569,6.87,6.82,4.19
50807,0.61,4,4,4,60.7,56.0,2306,5.52,5.49,3.34
31045,0.4,1,1,5,59.7,62.0,750,4.75,4.79,2.85
38154,0.25,0,4,1,54.4,64.0,1013,4.3,4.23,2.32
34022,0.35,4,5,5,62.6,53.0,849,4.52,4.55,2.84
7572,0.92,2,6,2,60.7,58.0,4253,6.27,6.39,3.84
10439,0.91,2,4,2,62.3,58.0,4785,6.14,6.19,3.84
15700,0.29,4,2,7,60.7,57.0,607,4.3,4.33,2.62
27462,2.02,3,5,1,61.0,59.0,18117,8.18,8.12,4.97
22368,0.31,3,2,3,62.7,59.0,628,4.32,4.29,2.7
8107,1.15,4,0,2,61.8,57.0,4347,6.73,6.67,4.14
43936,0.3,1,3,3,58.5,64.0,515,4.42,4.37,2.57
33289,0.31,4,3,2,62.2,55.0,462,4.36,4.38,2.72
44182,0.5,2,5,3,62.4,57.0,1568,5.01,5.03,3.13
49612,0.7,4,2,2,61.2,58.0,2138,5.74,5.77,3.52
3616,0.77,2,6,3,63.1,57.0,3428,5.86,5.83,3.69
32706,0.31,3,4,3,60.8,60.0,802,4.37,4.34,2.65
15901,1.07,4,3,3,62.2,57.0,6355,6.53,6.55,4.07
6688,1.11,2,5,1,61.6,61.0,4102,6.61,6.66,4.09
8744,0.9,1,5,2,63.9,57.0,4463,6.05,6.1,3.88
41232,0.43,4,6,4,62.1,55.0,1207,4.83,4.86,3.01
22178,1.51,1,3,2,58.8,62.0,10216,7.4,7.49,4.38
18058,0.34,4,3,3,60.8,56.0,616,4.53,4.55,2.76
38835,0.4,2,4,5,60.9,52.0,1049,4.81,4.83,2.94
40602,0.23,2,4,5,61.7,55.0,498,3.99,4.05,2.48
5594,0.9,2,5,2,62.3,61.0,3868,6.12,6.17,3.83
47711,0.57,4,5,4,60.5,57.0,1884,5.33,5.38,3.24
44400,0.5,2,5,3,62.9,56.0,1584,5.06,5.11,3.2
22676,1.5,4,2,2,61.3,57.0,10725,7.38,7.4,4.53
8946,1.01,2,3,1,63.7,57.0,4498,6.3,6.35,4.03
16592,1.06,2,4,3,62.7,55.0,6627,6.54,6.5,4.09
30962,0.46,4,0,3,61.4,56.0,746,4.96,5.0,3.06
30802,0.43,4,4,1,60.7,57.0,742,4.88,4.91,2.97
44914,0.53,4,4,3,61.5,55.0,1631,5.2,5.27,3.22
23680,1.22,4,4,5,61.9,53.0,11730,6.9,6.92,4.28
36992,0.54,4,1,1,61.8,54.0,964,5.24,5.27,3.25
49086,0.6,4,3,4,62.2,55.0,2061,5.41,5.45,3.38
30892,0.32,2,5,5,62.4,56.0,744,4.34,4.38,2.72
10426,1.09,1,2,2,63.2,57.0,4784,6.54,6.57,4.14
26694,0.28,2,2,4,62.4,56.0,429,4.2,4.23,2.63
29201,0.33,4,1,7,61.4,56.0,694,4.41,4.45,2.72
14559,1.0,3,6,2,62.5,59.0,5880,6.38,6.32,3.97
51533,0.71,4,3,2,62.4,56.0,2386,5.74,5.71,3.57
13518,1.0,3,4,2,61.9,60.0,5544,6.34,6.39,3.94
15489,1.01,2,4,3,59.2,60.0,6204,6.46,6.51,3.84
48259,0.78,3,0,2,63.0,60.0,1954,5.88,5.82,3.66
46980,0.23,2,4,5,62.0,58.0,530,3.89,3.92,2.42
21350,1.56,2,1,2,61.3,57.0,9494,7.48,7.54,4.6
50049,0.9,2,5,0,62.4,63.0,2200,6.13,6.01,3.79
11681,1.0,1,5,2,64.2,58.0,5061,6.25,6.28,4.02
6206,1.02,2,2,1,63.5,60.0,3998,6.33,6.24,3.99
46439,0.58,4,4,4,61.9,54.0,1772,5.33,5.37,3.31
28658,0.31,4,3,6,60.2,58.0,676,4.37,4.43,2.65
15719,0.3,3,2,3,61.1,59.0,608,4.37,4.3,2.65
50543,0.66,1,4,3,61.5,60.8,2275,5.55,5.6,3.43
7791,0.9,2,5,1,59.9,57.0,4288,6.25,6.34,3.77
1057,0.25,3,5,4,61.5,60.0,558,4.04,4.02,2.48
32493,0.39,4,5,3,61.4,56.0,796,4.68,4.74,2.89
4966,0.9,1,3,2,63.7,60.0,3734,6.07,6.11,3.88
52075,0.7,2,4,3,63.4,56.0,2455,5.69,5.63,3.59
6220,1.01,4,3,2,62.9,57.0,4004,6.37,6.3,3.98
15251,0.9,1,4,6,64.2,56.0,6124,6.07,6.02,3.88
795,0.79,3,4,2,62.3,54.0,2862,5.97,5.91,3.7
48017,0.63,3,2,4,62.9,60.0,1921,5.45,5.33,3.39
5727,0.27,2,6,5,64.6,53.0,575,4.04,4.1,2.63
43231,0.4,4,5,6,62.4,57.0,1397,4.72,4.67,2.93
3442,0.9,0,2,2,65.4,56.0,3387,6.11,6.04,3.97
4377,1.13,4,4,0,62.2,55.0,3607,6.68,6.63,4.14
15437,1.05,3,3,3,62.8,58.0,6181,6.48,6.44,4.06
39948,0.24,1,5,6,60.8,64.0,492,3.97,3.99,2.42
49770,0.5,4,4,5,61.6,56.0,2160,5.11,5.08,3.14
17036,1.35,3,4,1,62.8,60.0,6804,7.08,7.0,4.42
43917,0.36,4,0,4,61.7,53.7,513,4.58,4.62,2.84
42840,0.41,4,4,6,60.3,56.0,1356,4.85,4.8,2.91
23446,1.51,4,2,3,62.2,57.0,11435,7.29,7.33,4.55
12797,1.11,2,2,2,62.5,58.0,5335,6.61,6.64,4.14
8302,0.91,4,2,2,61.9,56.0,4386,6.17,6.21,3.83
20960,1.5,1,6,1,60.2,65.0,9173,7.37,7.34,4.43
47874,0.52,4,3,5,61.5,56.0,1911,5.18,5.2,3.19
45300,0.51,2,5,3,63.3,57.0,1662,5.12,5.05,3.22
46374,0.58,4,3,3,60.0,56.0,1761,5.45,5.48,3.28
53059,0.92,3,4,0,60.7,58.0,2607,6.29,6.26,3.81
43225,0.4,4,3,7,62.2,55.0,1397,4.76,4.73,2.95
38018,0.39,3,3,3,62.3,59.0,1009,4.69,4.65,2.91
12894,1.16,2,3,2,60.5,60.0,5372,6.86,6.77,4.12
24960,2.0,0,2,2,65.1,59.0,13442,7.83,7.77,5.08
13652,1.16,4,1,3,60.1,62.0,5587,6.83,6.78,4.09
25658,1.77,2,6,2,59.2,61.0,14561,7.86,7.98,4.69
36119,0.48,4,2,2,61.2,56.0,927,5.06,5.1,3.11
39638,0.34,3,3,7,62.3,59.0,1084,4.49,4.46,2.79
32881,0.4,2,0,4,63.2,57.0,810,4.73,4.7,2.98
40963,0.51,3,1,3,62.9,55.0,1179,5.12,5.08,3.21
45336,0.51,1,5,3,63.8,55.0,1662,5.08,5.05,3.23
29953,0.33,2,1,2,62.8,58.0,445,4.39,4.43,2.77
48375,0.68,2,4,2,60.1,57.9,1964,5.69,5.74,3.43
48427,0.71,2,2,1,63.7,56.0,1972,5.62,5.65,3.59
8615,0.91,2,6,2,62.0,60.0,4444,6.12,6.2,3.82
642,0.7,2,5,3,60.2,62.0,2843,5.71,5.75,3.45
41453,0.4,4,3,7,61.1,58.0,1229,4.72,4.74,2.89
50303,0.27,2,6,6,61.0,61.0,544,4.14,4.15,2.53
29385,0.31,3,5,2,62.9,58.0,698,4.33,4.29,2.71
40750,0.4,4,4,5,61.7,55.0,1163,4.76,4.74,2.93
24359,1.53,2,4,2,61.9,56.0,12621,7.45,7.32,4.57
30689,0.4,2,5,2,62.8,59.0,737,4.64,4.69,2.93
21617,1.59,3,3,2,62.2,58.0,9707,7.51,7.45,4.65
18261,1.21,2,3,3,63.1,60.0,7416,6.72,6.66,4.22
13582,1.0,2,1,4,60.8,59.0,5557,6.39,6.44,3.9
42428,0.51,4,2,3,61.2,53.0,1312,5.22,5.18,3.18
4843,0.86,4,6,2,62.8,56.0,3709,6.05,6.08,3.81
43813,0.51,4,5,2,61.7,55.0,1443,5.17,5.13,3.18
26545,1.74,1,3,4,58.6,62.0,16223,7.83,7.88,4.6
49979,0.31,2,1,6,63.6,55.0,541,4.27,4.32,2.73
42523,0.45,3,3,6,60.8,58.0,1323,4.98,4.92,3.01
199,0.7,4,5,2,61.4,57.0,2777,5.76,5.7,3.52
6690,1.2,2,0,1,61.8,56.0,4102,6.81,6.85,4.22
7604,0.92,4,5,2,61.4,54.6,4258,6.25,6.29,3.85
28605,0.3,3,5,2,60.6,56.0,675,4.37,4.35,2.64
31426,0.3,4,2,7,61.5,58.0,764,4.28,4.3,2.64
50015,0.7,3,4,2,60.4,58.0,2196,5.76,5.82,3.5
10793,1.07,1,3,2,63.1,59.0,4861,6.45,6.49,4.08
21784,2.05,3,1,1,62.0,58.0,9850,8.13,8.08,5.02
23634,1.5,3,1,3,61.4,58.0,11655,7.28,7.24,4.46
12185,1.21,3,3,1,59.1,55.0,5184,7.04,6.98,4.14
50898,0.73,0,5,2,64.6,59.0,2317,5.69,5.64,3.66
19328,1.19,4,3,4,61.9,55.0,8034,6.81,6.87,4.22
6940,1.0,0,5,2,66.3,62.0,4140,6.27,6.06,4.09
43645,0.5,1,4,3,58.8,64.0,1433,5.21,5.16,3.05
30880,0.33,3,5,2,60.3,60.0,743,4.49,4.47,2.7
27453,1.7,2,3,3,61.9,55.0,18107,7.64,7.68,4.74
24569,1.56,4,2,3,62.2,56.0,12864,7.45,7.47,4.64
8016,0.92,4,2,4,60.9,57.0,4328,6.33,6.29,3.84
35108,0.3,4,4,7,62.6,57.0,886,4.25,4.28,2.67
42526,0.4,3,4,6,61.1,59.0,1323,4.78,4.75,2.91
11905,1.0,2,2,3,62.9,57.0,5121,6.31,6.35,3.98
19749,1.5,3,5,1,62.7,59.0,8316,7.3,7.22,4.55
3088,0.74,4,5,3,61.7,56.0,3315,5.86,5.81,3.6
41350,0.5,1,5,2,64.0,56.0,1217,5.03,4.9,3.18
30773,0.38,4,2,3,62.2,57.0,741,4.61,4.66,2.89
47147,0.66,1,2,4,59.9,60.3,1832,5.61,5.67,3.37
36005,0.37,4,5,4,63.3,54.0,921,4.59,4.63,2.91
20374,0.31,3,3,4,62.1,58.0,625,4.31,4.36,2.69
31670,0.4,3,4,2,61.7,59.0,769,4.75,4.72,2.92
25165,1.7,3,3,2,62.5,61.0,13737,7.54,7.47,4.69
19687,0.32,2,4,3,61.5,59.7,624,4.32,4.39,2.68
7757,1.05,2,5,1,63.2,59.0,4281,6.43,6.36,4.04
35354,0.42,4,5,1,62.9,56.0,898,4.8,4.77,3.01
5341,0.78,4,6,3,61.9,56.0,3811,5.89,5.91,3.65
6713,0.27,2,6,4,62.2,58.0,413,4.14,4.15,2.58
47027,0.52,3,5,4,61.7,58.0,1819,5.17,5.11,3.17
28220,0.33,3,3,4,60.3,59.0,666,4.44,4.52,2.7
10961,0.94,2,6,2,60.7,60.0,4902,6.27,6.32,3.82
50387,0.55,4,6,4,61.3,56.0,2251,5.28,5.32,3.25
37816,0.36,4,6,4,61.8,55.0,1002,4.58,4.54,2.82
7498,1.04,3,1,4,61.4,57.0,4240,6.52,6.47,3.99
51217,0.7,3,3,2,62.8,58.0,2352,5.66,5.62,3.54
26434,1.55,3,4,4,62.0,60.0,15966,7.4,7.31,4.56
42046,0.51,4,5,1,58.3,62.0,1268,5.2,5.19,3.04
24462,1.11,4,5,6,61.3,54.0,12725,6.68,6.72,4.11
21541,1.01,2,5,5,63.4,56.0,9642,6.32,6.37,4.02
41745,0.57,2,5,1,59.7,57.0,1244,5.4,5.48,3.25
11116,1.02,1,4,2,64.3,58.0,4936,6.28,6.32,4.05
1612,0.72,4,3,3,61.7,56.0,3012,5.74,5.78,3.55
46929,0.52,3,3,4,61.2,60.0,1815,5.19,5.13,3.16
25188,1.52,4,3,4,59.7,57.0,13777,7.48,7.5,4.47
45667,0.53,4,6,3,61.8,57.0,1694,5.17,5.21,3.21
52557,0.7,3,3,4,62.8,57.0,2535,5.67,5.64,3.55
32454,0.36,2,6,4,62.8,55.0,793,4.52,4.55,2.85
4689,1.01,2,5,1,63.3,58.0,3674,6.4,6.31,4.02
48728,0.52,4,3,5,59.8,57.0,2012,5.26,5.24,3.14
8981,1.06,2,1,2,60.2,59.0,4507,6.62,6.67,4.0
10902,1.03,3,5,1,62.0,59.0,4885,6.42,6.49,4.0
177,0.74,2,4,3,61.3,61.0,2775,5.8,5.84,3.57
23790,1.7,3,2,2,61.8,61.0,11848,7.59,7.52,4.67
8286,1.0,2,4,1,62.2,55.0,4383,6.39,6.44,3.99
41222,0.43,4,3,6,61.4,55.0,1207,4.86,4.91,3.0
19215,1.41,2,2,2,62.9,57.0,7956,7.04,7.08,4.44
33806,0.32,3,5,5,61.5,58.0,842,4.36,4.42,2.7
31329,0.36,2,6,3,64.0,56.0,759,4.49,4.51,2.88
30410,0.4,1,2,3,59.4,64.0,730,4.75,4.82,2.84
1901,0.83,3,6,1,62.7,56.0,3078,6.01,5.98,3.76
25843,1.72,3,4,2,62.0,58.0,14892,7.68,7.65,4.75
20482,1.5,1,4,1,62.6,64.0,8820,7.25,7.19,4.52
34951,0.24,2,5,5,62.1,59.0,471,3.95,4.0,2.47
21750,1.55,2,2,2,61.6,54.0,9818,7.41,7.47,4.58
6602,1.0,2,4,1,62.6,58.0,4081,6.31,6.37,3.97
9134,1.0,3,2,3,61.9,61.0,4536,6.37,6.23,3.9
11513,1.03,4,6,1,62.5,55.0,5021,6.41,6.48,4.03
47132,0.58,4,6,2,61.1,57.0,1829,5.41,5.36,3.29
30265,0.32,4,4,4,61.3,55.0,725,4.4,4.44,2.71
3483,0.79,2,4,4,58.6,57.0,3398,6.08,6.14,3.58
48888,0.7,2,1,2,62.5,60.0,2039,5.64,5.68,3.54
44861,0.54,3,6,3,61.6,56.0,1627,5.24,5.18,3.21
41131,0.35,4,5,7,61.4,56.0,1197,4.53,4.56,2.79
48402,0.83,1,4,1,63.7,59.0,1968,5.91,5.86,3.75
2678,0.73,4,1,6,61.8,57.0,3239,5.75,5.77,3.56
34428,0.3,4,3,7,61.4,57.0,863,4.3,4.33,2.65
45893,0.52,4,4,3,62.5,54.0,1720,5.17,5.14,3.22
15114,1.01,2,4,2,62.9,57.0,6075,6.35,6.4,4.01
30313,0.4,4,6,2,61.3,56.0,726,4.75,4.78,2.92
6700,0.32,4,0,3,61.5,53.0,409,4.44,4.47,2.74
39260,0.3,4,6,6,61.3,57.0,1069,4.32,4.29,2.64
16478,1.2,4,2,3,62.6,56.0,6586,6.76,6.73,4.22
1341,0.72,4,2,4,61.1,57.0,2961,5.8,5.82,3.55
44404,0.55,4,2,2,61.4,56.0,1584,5.28,5.31,3.25
21936,1.01,0,6,1,64.6,58.0,10011,6.25,6.2,4.02
36362,0.32,1,4,6,63.8,54.0,939,4.38,4.31,2.77
9422,1.01,2,6,1,60.3,57.0,4588,6.51,6.56,3.94
52320,0.33,2,4,2,62.8,58.0,550,4.4,4.42,2.77
11991,0.91,2,5,3,61.1,58.0,5145,6.2,6.28,3.81
32427,0.4,4,3,3,62.5,54.0,792,4.72,4.75,2.96
26058,1.7,2,3,3,62.6,57.0,15259,7.6,7.67,4.78
31595,0.2,3,5,3,59.7,62.0,367,3.84,3.8,2.28
34836,0.3,3,2,6,62.0,59.0,878,4.29,4.26,2.65
38119,0.3,4,3,6,61.7,55.0,1013,4.34,4.32,2.67
29682,0.35,4,4,2,61.1,56.0,707,4.56,4.58,2.79
24235,2.0,4,0,2,62.4,54.0,12433,8.02,8.09,5.03
43491,0.51,3,4,2,61.4,59.0,1421,5.13,5.13,3.16
36679,0.52,4,1,2,61.8,54.0,950,5.17,5.19,3.2
31415,0.3,4,3,6,61.4,57.0,764,4.32,4.35,2.66
35604,0.31,3,2,6,61.8,58.0,907,4.34,4.3,2.67
15810,1.06,2,3,3,63.1,59.0,6325,6.48,6.45,4.08
11735,1.04,2,3,2,61.8,59.0,5070,6.49,6.55,4.03
43847,0.5,0,4,4,56.4,62.0,1446,5.31,5.22,2.97
48187,0.65,2,6,2,62.4,58.0,1945,5.52,5.57,3.46
7035,0.9,2,1,6,63.5,58.0,4161,6.06,6.09,3.86
35540,0.34,4,4,6,61.4,55.0,906,4.53,4.56,2.79
49994,0.58,4,5,4,62.9,54.0,2192,5.34,5.31,3.35
39550,0.32,4,3,6,61.4,55.0,1080,4.44,4.42,2.72
22120,1.01,3,6,5,60.2,58.0,10147,6.57,6.51,3.94
52430,0.7,3,1,6,61.2,59.0,2513,5.65,5.69,3.47
14384,0.3,2,3,4,62.8,59.0,605,4.23,4.27,2.67
3311,0.7,4,5,3,61.1,56.0,3370,5.76,5.81,3.53
50040,0.71,2,1,4,63.3,58.0,2198,5.68,5.66,3.59
1624,0.73,2,6,2,60.8,59.0,3014,5.8,5.85,3.54
38274,0.21,2,5,3,63.2,54.0,386,3.82,3.78,2.4
37937,0.26,2,3,5,62.2,56.0,486,4.09,4.12,2.55
7740,0.38,4,1,2,62.3,56.0,581,4.58,4.63,2.87
50628,0.25,1,2,6,60.6,64.0,401,4.05,4.07,2.46
4445,0.92,3,2,2,62.0,60.0,3618,6.21,6.27,3.87
46722,0.61,3,2,4,59.6,61.0,1793,5.53,5.44,3.27
1647,0.71,4,4,5,62.6,56.0,3018,5.7,5.65,3.55
48241,0.86,2,0,1,63.2,61.0,1950,6.05,5.97,3.79
27877,0.4,4,3,1,61.8,56.0,654,4.75,4.77,2.94
44958,0.58,4,5,2,61.5,55.0,1636,5.34,5.39,3.3
23157,1.23,2,5,5,60.4,62.0,11175,6.88,6.93,4.17
44437,0.51,1,3,4,63.4,57.0,1590,5.04,5.08,3.21
3610,1.0,3,3,1,60.7,59.0,3427,6.45,6.41,3.9
4467,0.7,2,6,5,61.1,57.0,3622,5.7,5.75,3.5
7418,1.02,3,4,1,62.7,59.0,4227,6.45,6.38,4.02
51871,0.71,4,4,2,61.4,55.0,2427,5.75,5.82,3.55
23630,1.5,2,2,6,63.8,57.0,11654,7.17,7.21,4.59
45145,0.5,3,4,3,61.1,60.0,1654,5.12,5.1,3.12
51749,0.7,2,1,4,61.4,57.0,2405,5.71,5.74,3.52
22905,1.24,4,3,4,61.8,55.0,10946,6.85,6.89,4.25
6415,1.05,2,2,1,61.4,58.0,4042,6.54,6.58,4.03
25183,1.52,3,3,3,62.8,60.0,13768,7.26,7.22,4.55
23180,1.5,3,2,4,59.9,60.0,11189,7.44,7.39,4.44
24325,1.01,2,6,7,63.3,55.0,12581,6.36,6.28,4.0
36861,0.42,4,5,3,62.4,55.0,958,4.79,4.83,3.0
50858,0.72,4,1,3,61.6,55.0,2312,5.76,5.78,3.55
18677,1.5,3,2,2,61.4,56.0,7636,7.47,7.34,4.55
44510,0.52,4,6,2,62.2,57.0,1600,5.13,5.16,3.2
47273,0.5,4,2,7,61.1,58.0,1844,5.1,5.14,3.13
14101,1.0,3,4,3,60.6,59.0,5718,6.5,6.46,3.93
3764,1.05,3,0,1,60.9,60.0,3457,6.59,6.51,3.99
10297,1.01,1,4,2,63.5,59.0,4759,6.3,6.39,4.03
50226,0.7,2,4,2,60.6,58.0,2231,5.73,5.78,3.49
44608,0.53,3,5,2,61.9,56.0,1607,5.22,5.19,3.22
7985,1.03,1,2,2,63.1,56.0,4326,6.35,6.39,4.02
32312,0.3,2,3,6,62.1,61.0,789,4.27,4.3,2.66
11569,1.03,4,3,2,60.9,57.0,5037,6.54,6.5,3.97
38123,0.3,3,3,6,60.7,58.0,1013,4.36,4.34,2.64
19051,1.59,2,1,1,61.6,57.0,7835,7.51,7.56,4.64
20206,1.55,2,1,2,62.0,62.0,8644,7.33,7.47,4.59
53494,0.73,4,6,1,62.4,56.0,2683,5.74,5.77,3.59
12816,1.01,3,4,2,62.3,58.0,5345,6.44,6.41,4.0
20638,1.51,3,0,5,62.5,59.0,8930,7.34,7.29,4.57
36373,0.38,4,5,4,60.8,56.0,940,4.7,4.75,2.86
42243,0.52,4,6,1,61.9,55.0,1292,5.16,5.18,3.2
38721,0.41,4,2,6,62.2,57.0,1043,4.74,4.78,2.96
37964,0.41,4,4,4,62.0,56.0,1007,4.77,4.81,2.97
50232,0.7,4,1,3,62.5,56.0,2232,5.66,5.7,3.55
52217,0.73,4,0,5,61.2,56.0,2482,5.81,5.85,3.57
17856,1.16,3,3,3,59.9,60.0,7203,6.88,6.85,4.11
49967,0.33,2,5,2,59.1,59.0,540,4.54,4.59,2.7
953,0.74,4,4,2,61.2,56.0,2889,5.83,5.87,3.58
46801,0.7,3,4,1,60.3,58.0,1806,5.79,5.76,3.48
22199,1.6,2,1,4,62.3,59.0,10238,7.46,7.51,4.66
